,start,end,duration_mins,cluster,implicated_vars,z_scores
193,2018-06-01 02:35:00,2018-06-01 02:55:00,20.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 3.54, Cyclone_Inlet_Draft: 3.50"
194,2018-06-07 07:35:00,2018-06-07 07:45:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 3.87, Cyclone_Inlet_Gas_Temp: 3.60"
195,2018-06-07 09:35:00,2018-06-07 09:55:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 4.42, Cyclone_Inlet_Gas_Temp: 3.98"
196,2018-06-19 15:35:00,2018-06-19 15:50:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.60, Cyclone_Outlet_Gas_draft: 3.87"
197,2018-06-21 19:35:00,2018-06-21 20:30:00,55.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 11.48, Cyclone_Inlet_Gas_Temp: 3.79"
198,2018-07-10 15:25:00,2018-07-10 15:35:00,10.0,2,"Cyclone_Material_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Material_Temp: 8.00, Cyclone_Inlet_Gas_Temp: 4.52"
199,2018-07-13 23:15:00,2018-07-14 00:05:00,50.0,2,"Cyclone_Material_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Material_Temp: 8.00, Cyclone_Inlet_Gas_Temp: 5.06"
200,2018-07-14 01:05:00,2018-07-14 01:20:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.40, Cyclone_Outlet_Gas_draft: 4.02"
201,2018-07-19 06:55:00,2018-07-19 07:20:00,25.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 6.30, Cyclone_Outlet_Gas_draft: 5.47"
202,2018-08-24 22:35:00,2018-08-24 23:20:00,45.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.95, Cyclone_Outlet_Gas_draft: 4.32"
203,2018-09-03 02:15:00,2018-09-03 03:10:00,55.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 3.96, Cyclone_Outlet_Gas_draft: 3.86"
204,2018-09-08 10:10:00,2018-09-08 10:20:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.89, Cyclone_Outlet_Gas_draft: 4.97"
205,2018-09-11 15:15:00,2018-09-11 15:35:00,20.0,2,"Cyclone_cone_draft, Cyclone_Inlet_Draft","Cyclone_cone_draft: 5.45, Cyclone_Inlet_Draft: 3.18"
206,2018-09-17 17:10:00,2018-09-17 17:20:00,10.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Gas_Outlet_Temp: 5.26, Cyclone_Outlet_Gas_draft: 4.33"
207,2018-09-17 18:50:00,2018-09-17 19:10:00,20.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Gas_Temp","Cyclone_Outlet_Gas_draft: 4.45, Cyclone_Inlet_Gas_Temp: 3.69"
208,2018-09-25 14:05:00,2018-09-25 14:20:00,15.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Gas_Temp: 5.01, Cyclone_Outlet_Gas_draft: 3.55"
209,2018-10-18 22:55:00,2018-10-18 23:05:00,10.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.45, Cyclone_Inlet_Draft: 3.57"
210,2018-10-18 23:25:00,2018-10-18 23:40:00,15.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.35, Cyclone_Inlet_Draft: 3.53"
211,2018-10-23 16:25:00,2018-10-23 16:35:00,10.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp","Cyclone_Outlet_Gas_draft: 3.75, Cyclone_Gas_Outlet_Temp: 3.58"
212,2018-10-26 17:10:00,2018-10-26 17:30:00,20.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.27, Cyclone_Inlet_Draft: 4.26"
213,2018-11-05 13:55:00,2018-11-05 14:20:00,25.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 4.18, Cyclone_Inlet_Gas_Temp: 4.14"
214,2018-11-06 06:10:00,2018-11-06 06:25:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.74, Cyclone_Outlet_Gas_draft: 4.95"
215,2018-11-08 13:25:00,2018-11-08 13:35:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.25, Cyclone_Outlet_Gas_draft: 3.62"
216,2018-12-07 07:25:00,2018-12-07 07:35:00,10.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp","Cyclone_Inlet_Gas_Temp: 4.73, Cyclone_Gas_Outlet_Temp: 3.89"
217,2018-12-21 04:00:00,2018-12-21 04:20:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 6.61, Cyclone_Outlet_Gas_draft: 5.49"
218,2019-01-08 12:20:00,2019-01-08 12:30:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.47, Cyclone_Outlet_Gas_draft: 4.01"
219,2019-01-23 11:40:00,2019-01-23 12:00:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 6.10, Cyclone_Outlet_Gas_draft: 5.56"
220,2019-02-04 18:20:00,2019-02-04 18:45:00,25.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft","Cyclone_Gas_Outlet_Temp: 3.84, Cyclone_Inlet_Draft: 3.45"
221,2019-02-05 02:55:00,2019-02-05 03:10:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 7.12, Cyclone_Outlet_Gas_draft: 5.95"
